Province,Month,Year,Region,Region Encode,Latitude,Longitude,Average Temperature,Max Temperature,Min Temperature,Total Precipitation,Relative Humidity,Wind Speed,Wind Direction,Surface Pressure,Solar Radiation,Soil Moisture
Bình Thuận,3,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.59,33.78,22.22,1.13,75.16,3.85,69.5,99.13,20.46,0.55
Bình Thuận,4,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.53,33.29,22.29,5.04,83.03,2.86,112.7,99.14,22.46,0.56
Bình Thuận,5,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.21,32.3,23.79,3.5,83.12,3.12,243.3,98.93,21.11,0.54
Bình Thuận,6,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.31,30.12,23.67,4.07,86.86,4.32,254.2,98.87,18.62,0.57
Bình Thuận,7,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.93,28.99,22.97,8.53,88.36,4.26,254.3,98.9,19.1,0.62
Bình Thuận,8,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.26,29.82,22.53,4.18,86.6,4.54,254.5,98.96,19.78,0.63
Bình Thuận,9,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.64,29.91,22.93,11.43,89.31,3.4,241.3,99.04,16.17,0.7
Bình Thuận,10,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.79,30.24,20.25,6.15,85.82,3.19,75.0,99.15,19.17,0.79
Bình Thuận,11,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.79,29.99,22.7,2.01,86.91,3.68,69.1,99.17,17.72,0.75
Bình Thuận,12,2012,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.3,30.52,19.93,0.2,80.71,4.49,58.3,99.19,17.77,0.68
Bình Thuận,1,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.33,30.0,18.47,0.53,75.89,4.72,57.2,99.36,18.48,0.61
Bình Thuận,2,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.89,32.26,19.82,0.2,71.77,5.49,63.8,99.24,20.75,0.56
Bình Thuận,3,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.92,33.42,20.95,0.03,72.78,3.9,89.2,99.28,23.19,0.52
Bình Thuận,4,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.16,33.9,24.19,0.7,74.83,3.33,101.3,99.09,20.91,0.5
Bình Thuận,5,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.09,34.06,25.02,3.08,79.29,2.9,214.8,99.03,21.45,0.5
Bình Thuận,6,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.86,31.1,23.84,4.79,85.38,3.49,244.9,98.87,17.94,0.53
Bình Thuận,7,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.45,32.36,23.18,2.65,83.94,3.83,251.7,98.88,18.4,0.53
Bình Thuận,8,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.96,30.07,22.96,7.21,87.46,4.25,249.7,98.95,18.47,0.57
Bình Thuận,9,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.07,31.33,22.87,5.42,86.26,3.83,247.9,98.98,17.03,0.59
Bình Thuận,10,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.83,30.43,22.24,5.51,84.38,3.24,95.7,99.18,17.83,0.64
Bình Thuận,11,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.56,30.96,21.58,2.93,83.22,3.95,61.3,99.12,14.64,0.61
Bình Thuận,12,2013,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.55,30.72,18.27,0.09,71.86,4.34,51.9,99.25,16.96,0.57
Bình Thuận,1,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,23.83,31.17,16.83,0.01,66.41,4.7,59.4,99.47,18.77,0.53
Bình Thuận,2,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.46,31.44,18.7,0.0,71.47,4.4,79.7,99.33,22.75,0.5
Bình Thuận,3,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.6,34.34,19.71,0.02,70.93,4.76,82.3,99.33,23.84,0.48
Bình Thuận,4,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.34,34.75,23.29,0.95,69.88,3.02,114.6,99.19,22.22,0.47
Bình Thuận,5,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.57,33.91,24.98,2.94,77.53,2.74,167.7,99.06,22.58,0.48
Bình Thuận,6,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.12,33.81,22.75,8.59,83.92,3.77,254.3,98.89,18.44,0.51
Bình Thuận,7,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.22,30.59,23.1,6.73,87.63,4.38,253.5,98.95,17.24,0.58
Bình Thuận,8,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.25,30.03,22.99,5.23,87.03,3.31,245.6,99.07,20.68,0.63
Bình Thuận,9,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.35,30.63,23.52,5.08,86.36,3.4,241.1,99.08,19.78,0.65
Bình Thuận,10,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.13,30.51,22.97,5.38,84.77,2.67,83.2,99.2,18.6,0.68
Bình Thuận,11,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.13,31.08,21.49,1.19,81.4,3.87,62.9,99.2,18.22,0.64
Bình Thuận,12,2014,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.5,30.92,19.1,0.56,75.49,4.93,55.8,99.28,14.33,0.58
Bình Thuận,1,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.21,31.4,18.1,0.05,68.48,4.62,61.4,99.44,19.7,0.53
Bình Thuận,2,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.64,31.8,18.24,0.0,69.58,4.85,74.1,99.45,22.47,0.5
Bình Thuận,3,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.5,33.21,20.0,0.04,70.9,4.79,85.6,99.42,24.22,0.48
Bình Thuận,4,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.12,34.61,22.1,0.11,68.86,4.07,93.4,99.22,23.37,0.47
Bình Thuận,5,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.71,35.06,25.25,2.13,73.9,2.96,204.2,99.13,22.09,0.47
Bình Thuận,6,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.49,33.69,23.48,5.15,79.97,3.56,240.7,99.05,19.8,0.49
Bình Thuận,7,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.76,31.19,23.62,5.96,84.85,4.14,249.4,99.01,18.47,0.54
Bình Thuận,8,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.92,31.24,23.43,2.46,83.85,4.01,252.6,99.04,20.6,0.55
Bình Thuận,9,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.7,31.75,23.53,4.45,85.21,3.42,246.0,99.1,19.43,0.55
Bình Thuận,10,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.54,31.93,22.88,5.9,83.67,3.01,85.8,99.3,18.74,0.57
Bình Thuận,11,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.36,31.39,22.49,3.65,83.38,4.47,63.2,99.26,17.04,0.6
Bình Thuận,12,2015,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.88,32.55,20.0,2.87,77.41,4.97,57.0,99.41,17.27,0.57
Bình Thuận,1,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.91,31.8,20.71,0.1,76.26,4.71,69.7,99.47,19.04,0.54
Bình Thuận,2,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.83,33.29,17.54,0.06,66.91,5.75,62.0,99.5,21.44,0.51
Bình Thuận,3,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.38,33.23,20.34,0.0,70.65,4.41,88.6,99.41,23.82,0.49
Bình Thuận,4,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.51,34.9,22.83,0.09,71.21,3.28,133.9,99.2,23.28,0.47
Bình Thuận,5,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.95,36.56,25.24,8.57,76.08,3.31,165.6,99.05,20.39,0.48
Bình Thuận,6,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.8,31.1,23.55,7.01,86.5,3.45,242.5,99.08,19.1,0.59
Bình Thuận,7,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.52,30.75,23.52,5.95,87.06,3.37,245.3,99.04,19.64,0.64
Bình Thuận,8,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.49,29.7,23.69,5.14,88.41,4.7,249.1,98.87,18.61,0.67
Bình Thuận,9,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.26,30.3,23.3,5.11,87.98,3.45,248.4,98.97,18.38,0.69
Bình Thuận,10,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.95,29.55,22.66,9.79,89.47,3.12,201.5,98.99,14.69,0.75
Bình Thuận,11,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.76,30.07,21.42,4.33,87.82,3.47,63.5,99.15,16.57,0.82
Bình Thuận,12,2016,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.78,29.02,20.7,8.75,87.3,3.94,49.9,99.16,10.97,0.84
Bình Thuận,1,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.36,29.38,19.87,2.06,84.18,4.25,53.0,99.26,15.46,0.82
Bình Thuận,2,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,23.95,29.52,17.45,0.33,81.25,4.08,55.7,99.4,19.19,0.75
Bình Thuận,3,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.26,30.89,19.0,0.05,81.23,3.84,77.5,99.29,22.57,0.67
Bình Thuận,4,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.01,33.33,22.11,1.22,79.41,3.14,96.0,99.21,21.28,0.61
Bình Thuận,5,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.9,33.14,24.52,2.91,81.3,2.89,179.6,99.07,19.57,0.59
Bình Thuận,6,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.0,31.56,22.5,3.84,84.55,3.3,245.6,99.03,19.71,0.59
Bình Thuận,7,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.21,29.64,23.3,6.95,87.54,4.34,252.9,99.0,16.41,0.61
Bình Thuận,8,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.32,29.72,22.24,5.56,88.9,3.6,250.9,98.98,19.33,0.67
Bình Thuận,9,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.86,31.42,23.87,3.83,86.51,2.74,236.2,99.05,19.79,0.67
Bình Thuận,10,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.14,30.28,21.84,9.43,86.74,2.7,120.6,99.06,15.42,0.74
Bình Thuận,11,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.72,30.43,21.4,3.32,87.36,3.61,58.9,99.03,14.5,0.77
Bình Thuận,12,2017,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.37,29.67,18.39,1.07,81.35,4.58,49.1,99.24,15.7,0.72
Bình Thuận,1,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.51,30.61,19.81,0.19,80.74,3.92,55.8,99.14,16.77,0.65
Bình Thuận,2,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.34,32.06,16.56,0.02,73.15,4.53,62.6,99.39,21.6,0.59
Bình Thuận,3,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.37,33.0,20.93,0.23,72.55,4.43,74.0,99.24,22.45,0.55
Bình Thuận,4,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.8,34.38,21.12,0.39,71.01,4.27,83.3,99.15,23.62,0.51
Bình Thuận,5,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.41,34.44,24.94,2.14,75.84,2.57,108.9,99.11,20.94,0.5
Bình Thuận,6,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.78,32.66,23.83,6.15,84.12,4.02,256.5,99.0,16.97,0.53
Bình Thuận,7,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.23,30.01,23.15,6.48,87.57,5.25,254.3,98.85,17.45,0.56
Bình Thuận,8,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.05,29.81,23.6,7.84,87.49,5.14,255.2,98.9,16.25,0.61
Bình Thuận,9,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.14,30.82,23.02,9.62,87.9,3.31,245.1,99.04,18.79,0.69
Bình Thuận,10,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.15,30.91,20.53,4.97,84.88,3.37,67.7,99.25,19.63,0.73
Bình Thuận,11,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.68,30.77,21.13,6.55,85.21,3.96,60.2,99.24,16.02,0.72
Bình Thuận,12,2018,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.53,29.61,21.27,1.79,84.23,4.17,54.3,99.26,14.61,0.71
Bình Thuận,1,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.38,30.13,17.61,0.93,80.08,4.99,55.7,99.44,17.85,0.67
Bình Thuận,2,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.21,30.86,19.99,0.06,76.84,4.65,73.8,99.5,22.77,0.61
Bình Thuận,3,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.82,33.31,20.13,0.23,74.69,3.9,92.3,99.33,22.42,0.56
Bình Thuận,4,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.28,34.54,22.83,0.84,74.22,3.31,109.6,99.16,23.73,0.53
Bình Thuận,5,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.31,33.65,24.56,3.35,80.67,2.93,229.3,99.05,21.03,0.52
Bình Thuận,6,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.65,32.93,24.71,5.8,83.78,3.71,255.0,98.99,20.2,0.54
Bình Thuận,7,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.5,30.66,23.16,6.54,86.16,4.32,259.5,98.99,18.78,0.59
Bình Thuận,8,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.51,30.14,23.23,8.27,88.27,5.12,251.0,98.92,18.45,0.63
Bình Thuận,9,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.23,31.36,23.16,8.1,87.26,4.04,260.5,99.12,17.19,0.7
Bình Thuận,10,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.72,31.17,23.21,1.7,83.19,3.26,71.9,99.17,19.42,0.69
Bình Thuận,11,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.34,29.87,20.45,4.52,83.47,3.65,62.0,99.22,16.04,0.68
Bình Thuận,12,2019,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.54,31.19,18.57,0.01,75.03,4.37,51.6,99.38,19.69,0.62
Bình Thuận,1,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.07,31.57,18.98,0.01,73.31,4.68,60.9,99.39,20.3,0.56
Bình Thuận,2,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.54,32.76,17.56,0.03,68.53,5.43,61.5,99.49,21.52,0.52
Bình Thuận,3,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.22,33.75,22.09,0.01,72.19,4.32,89.8,99.29,23.78,0.5
Bình Thuận,4,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,28.5,34.96,23.84,0.13,69.84,4.88,80.7,99.26,22.04,0.48
Bình Thuận,5,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,29.21,35.61,24.05,1.99,73.85,2.87,159.7,99.06,21.7,0.47
Bình Thuận,6,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.51,33.73,24.17,10.57,83.24,2.83,235.3,99.03,19.05,0.52
Bình Thuận,7,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.81,30.79,23.02,5.14,85.14,2.63,230.1,98.98,20.19,0.61
Bình Thuận,8,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.46,30.2,23.68,6.67,88.51,3.75,248.4,98.95,19.35,0.66
Bình Thuận,9,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.6,30.75,23.96,5.14,86.53,2.78,238.8,99.02,18.44,0.66
Bình Thuận,10,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.89,30.17,23.65,12.1,89.8,3.22,238.1,98.93,13.61,0.76
Bình Thuận,11,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.54,30.02,21.65,4.14,85.51,3.54,59.5,99.16,15.99,0.79
Bình Thuận,12,2020,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,24.58,29.23,19.26,1.83,83.49,3.85,45.2,99.17,13.41,0.76
Bình Thuận,1,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,23.47,29.13,16.59,0.05,79.41,4.09,51.3,99.27,18.26,0.7
Bình Thuận,2,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,23.93,31.49,17.6,0.04,76.61,3.7,65.0,99.32,21.74,0.63
Bình Thuận,3,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.33,33.14,19.71,0.04,74.36,4.42,73.1,99.21,24.13,0.57
Bình Thuận,4,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.35,34.12,22.94,4.18,77.88,3.51,104.3,99.17,21.46,0.54
Bình Thuận,5,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,27.35,32.51,23.99,6.86,84.39,3.24,130.2,99.02,20.87,0.58
Bình Thuận,6,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.65,31.07,23.3,5.09,87.4,3.72,255.9,99.05,20.83,0.63
Bình Thuận,7,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.47,30.02,23.33,5.5,86.65,4.38,253.5,98.96,18.29,0.65
Bình Thuận,8,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.62,30.99,23.38,5.81,86.21,3.39,244.8,99.04,20.14,0.65
Bình Thuận,9,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.08,30.68,22.57,8.35,87.5,3.18,239.4,99.02,17.46,0.71
Bình Thuận,10,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,26.09,29.95,22.79,8.47,88.55,3.4,267.9,99.03,14.84,0.8
Bình Thuận,11,2021,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,0,11.1041572,108.1832931,25.64,30.01,22.85,4.84,88.34,4.04,58.2,99.09,12.31,0.81
